Date,PriceOfLastTransaction,Max,Min,AveragePrice,PercentAvg,Quantity,TurnoverBEST,TotalTurnover
30.12.2014,"8.370,00","8.370,00","8.370,00","8.370,00","2,23",3,25.110,25.110
29.12.2014,"8.150,00","8.249,00","8.149,00","8.187,20","-0,76",61,499.419,499.419
26.12.2014,"8.250,00",,,"8.250,00","0,00",0,0,0
25.12.2014,"8.250,00","8.250,00","8.250,00","8.250,00","2,48",2,16.500,16.500
24.12.2014,"8.050,00","8.050,00","8.050,00","8.050,00","-1,83",3,24.150,24.150
23.12.2014,"8.250,00","8.250,00","8.100,00","8.200,00","1,23",30,246.000,246.000
22.12.2014,"8.100,00","8.100,00","8.100,00","8.100,00","0,00",5,40.500,40.500
19.12.2014,"8.100,00","8.100,00","8.100,00","8.100,00","-1,69",10,81.000,81.000
18.12.2014,"8.278,00","8.278,00","8.200,00","8.239,00","0,48",30,247.170,247.170
17.12.2014,"8.200,00",,,"8.200,00","0,00",0,0,0
16.12.2014,"8.200,00",,,"8.200,00","0,00",0,0,0
15.12.2014,"8.200,00",,,"8.200,00","0,00",0,0,0
12.12.2014,"8.200,00","8.200,00","8.200,00","8.200,00","2,31",38,311.600,311.600
11.12.2014,"8.000,00",,,"8.014,56","0,00",0,0,0
10.12.2014,"8.000,00",,,"8.014,56","0,00",0,0,0
09.12.2014,"8.000,00",,,"8.014,56","0,00",0,0,0
05.12.2014,"8.000,00","8.120,00","8.000,00","8.014,56","-2,25",125,1.001.820,1.001.820
04.12.2014,"8.199,00","8.199,00","8.199,00","8.199,00","-0,13",40,327.960,327.960
02.12.2014,"8.199,00","8.250,00","8.199,00","8.209,73","-1,33",75,615.730,615.730
01.12.2014,"8.330,00",,,"8.320,00","0,00",0,0,0
28.11.2014,"8.330,00",,,"8.320,00","0,00",0,0,0
27.11.2014,"8.330,00",,,"8.320,00","0,00",0,0,0
26.11.2014,"8.330,00","8.330,00","8.310,00","8.320,00","-0,60",40,332.800,332.800
25.11.2014,"8.370,00","8.370,00","8.370,00","8.370,00","0,50",27,225.990,225.990
24.11.2014,"8.400,00","8.400,00","8.300,00","8.328,57","-1,67",70,583.000,583.000
21.11.2014,"8.470,00",,,"8.469,86","0,00",0,0,0
20.11.2014,"8.470,00","8.470,00","8.469,00","8.469,86","-2,98",74,626.770,626.770
19.11.2014,"8.730,00","8.730,00","8.730,00","8.730,00","-3,00",10,87.300,87.300
18.11.2014,"9.000,00","9.000,00","9.000,00","9.000,00","-0,51",15,135.000,135.000
17.11.2014,"9.100,00",,,"9.045,95","0,00",0,0,0
14.11.2014,"9.100,00",,,"9.045,95","0,00",0,0,0
13.11.2014,"9.100,00","9.100,00","9.000,00","9.045,95","-2,23",37,334.700,334.700
12.11.2014,"9.250,00",,,"9.252,22","0,00",0,0,0
11.11.2014,"9.250,00",,,"9.252,22","0,00",0,0,0
10.11.2014,"9.250,00",,,"9.252,22","0,00",0,0,0
07.11.2014,"9.250,00",,,"9.252,22","0,00",0,0,0
06.11.2014,"9.250,00",,,"9.252,22","0,00",0,0,0
05.11.2014,"9.250,00",,,"9.252,22","0,00",0,0,0
04.11.2014,"9.250,00","9.280,00","9.200,00","9.252,22","2,12",45,416.350,416.350
03.11.2014,"9.000,00","9.100,00","9.000,00","9.060,00","0,67",25,226.500,226.500
31.10.2014,"9.000,00","9.000,00","9.000,00","9.000,00","0,67",210,1.890.000,1.890.000
30.10.2014,"8.900,00","8.989,00","8.900,00","8.940,45","2,43",33,295.035,295.035
29.10.2014,"8.600,00",,,"8.728,57","0,00",0,0,0
28.10.2014,"8.600,00","8.750,00","8.600,00","8.728,57","-0,24",70,611.000,611.000
27.10.2014,"8.750,00",,,"8.750,00","0,00",0,0,0
24.10.2014,"8.750,00",,,"8.750,00","0,00",0,0,0
22.10.2014,"8.750,00","8.750,00","8.750,00","8.750,00","0,00",50,437.500,437.500
21.10.2014,"8.750,00",,,"8.750,00","0,00",0,0,0
20.10.2014,"8.750,00","8.750,00","8.750,00","8.750,00","0,59",15,131.250,131.250
17.10.2014,"8.699,00","8.699,00","8.699,00","8.699,00","3,00",10,86.990,86.990
16.10.2014,"8.446,00",,,"8.446,00","0,00",0,0,0
15.10.2014,"8.446,00",,,"8.446,00","0,00",0,0,0
14.10.2014,"8.446,00",,,"8.446,00","0,00",0,0,0
13.10.2014,"8.446,00",,,"8.446,00","0,00",0,0,0
10.10.2014,"8.446,00",,,"8.446,00","0,00",0,0,0
09.10.2014,"8.446,00","8.446,00","8.446,00","8.446,00","3,00",35,295.610,1.495.610
08.10.2014,"8.200,00",,,"8.200,00","0,00",0,0,0
07.10.2014,"8.200,00","8.200,00","8.200,00","8.200,00","0,55",4,32.800,32.800
06.10.2014,"8.160,00",,,"8.155,00","0,00",0,0,0
03.10.2014,"8.160,00","8.160,00","8.150,00","8.155,00","0,68",80,652.400,652.400
02.10.2014,"8.100,00","8.100,00","8.100,00","8.100,00","-0,01",2,16.200,16.200
01.10.2014,"8.100,00",,,"8.100,45","0,00",0,0,1.200.000
30.9.2014,"8.100,00","8.101,00","8.100,00","8.100,45","1,24",92,745.241,745.241
29.9.2014,"8.001,00",,,"8.001,00","0,00",0,0,0
26.9.2014,"8.001,00",,,"8.001,00","0,00",0,0,0
25.9.2014,"8.001,00","8.001,00","8.001,00","8.001,00","0,01",10,80.010,80.010
24.9.2014,"8.000,00","8.000,00","7.999,00","7.999,99","0,00",77,615.999,615.999
23.9.2014,"8.000,00",,,"8.000,00","0,00",0,0,0
22.9.2014,"8.000,00",,,"8.000,00","0,00",0,0,0
19.9.2014,"8.000,00","8.000,00","8.000,00","8.000,00","0,00",40,320.000,320.000
18.9.2014,"8.000,00","8.000,00","8.000,00","8.000,00","0,00",20,160.000,160.000
17.9.2014,"8.000,00","8.000,00","8.000,00","8.000,00","0,62",10,80.000,80.000
16.9.2014,"7.950,00",,,"7.950,50","0,00",0,0,0
15.9.2014,"7.950,00",,,"7.950,50","0,00",0,0,0
12.9.2014,"7.950,00",,,"7.950,50","0,00",0,0,0
11.9.2014,"7.950,00","7.951,00","7.950,00","7.950,50","0,01",60,477.030,477.030
10.9.2014,"7.950,00","7.950,00","7.950,00","7.950,00","0,00",70,556.500,556.500
09.9.2014,"7.950,00",,,"7.950,00","0,00",0,0,0
05.9.2014,"7.950,00",,,"7.950,00","0,00",0,0,0
04.9.2014,"7.950,00","7.950,00","7.950,00","7.950,00","0,63",65,516.750,516.750
03.9.2014,"7.900,00",,,"7.900,00","0,00",0,0,0
02.9.2014,"7.900,00",,,"7.900,00","0,00",0,0,0
01.9.2014,"7.900,00",,,"7.900,00","0,00",0,0,0
29.8.2014,"7.900,00","7.900,00","7.900,00","7.900,00","0,06",10,79.000,79.000
27.8.2014,"7.900,00",,,"7.895,45","0,00",0,0,0
26.8.2014,"7.900,00","7.900,00","7.850,00","7.895,45","0,58",22,173.700,173.700
25.8.2014,"7.850,00",,,"7.850,00","0,00",0,0,0
22.8.2014,"7.850,00",,,"7.850,00","0,00",0,0,0
21.8.2014,"7.850,00",,,"7.850,00","0,00",0,0,0
20.8.2014,"7.850,00","7.850,00","7.850,00","7.850,00","0,64",20,157.000,157.000
19.8.2014,"7.800,00","7.800,00","7.800,00","7.800,00","0,00",4,31.200,31.200
18.8.2014,"7.800,00","7.800,00","7.800,00","7.800,00","0,00",5,39.000,39.000
15.8.2014,"7.800,00",,,"7.800,00","0,00",0,0,0
14.8.2014,"7.800,00","7.800,00","7.800,00","7.800,00","2,63",20,156.000,156.000
13.8.2014,"7.600,00",,,"7.600,00","0,00",0,0,0
12.8.2014,"7.600,00",,,"7.600,00","0,00",0,0,0
11.8.2014,"7.600,00",,,"7.600,00","0,00",0,0,0
08.8.2014,"7.600,00",,,"7.600,00","0,00",0,0,0
07.8.2014,"7.600,00",,,"7.600,00","0,00",0,0,0
06.8.2014,"7.600,00",,,"7.600,00","0,00",0,0,0
05.8.2014,"7.600,00",,,"7.600,00","0,00",0,0,0
04.8.2014,"7.600,00","7.600,00","7.600,00","7.600,00","-0,20",10,76.000,76.000
01.8.2014,"7.622,00","7.622,00","7.600,00","7.615,53","-0,08",17,129.464,129.464
31.7.2014,"7.622,00",,,"7.622,00","0,00",0,0,0
30.7.2014,"7.622,00",,,"7.622,00","0,00",0,0,0
29.7.2014,"7.622,00","7.622,00","7.622,00","7.622,00","3,00",20,152.440,152.440
25.7.2014,"7.400,00",,,"7.400,00","0,00",0,0,0
24.7.2014,"7.400,00",,,"7.400,00","0,00",0,0,0
23.7.2014,"7.400,00","7.400,00","7.400,00","7.400,00","-0,67",5,37.000,37.000
22.7.2014,"7.500,00","7.500,00","7.400,00","7.450,00","0,68",20,149.000,149.000
21.7.2014,"7.400,00","7.400,00","7.400,00","7.400,00","0,00",15,111.000,111.000
18.7.2014,"7.400,00","7.400,00","7.400,00","7.400,00","2,76",50,370.000,370.000
17.7.2014,"7.201,00","7.201,00","7.201,00","7.201,00","-0,10",25,180.025,180.025
16.7.2014,"7.210,00",,,"7.208,00","0,00",0,0,0
15.7.2014,"7.210,00",,,"7.208,00","0,00",0,0,0
14.7.2014,"7.210,00",,,"7.208,00","0,00",0,0,0
11.7.2014,"7.210,00","7.210,00","7.200,00","7.208,00","0,11",25,180.200,180.200
10.7.2014,"7.200,00","7.200,00","7.200,00","7.200,00","0,20",40,288.000,288.000
09.7.2014,"7.200,00","7.200,00","7.001,00","7.185,94","2,79",170,1.221.610,1.221.610
08.7.2014,"6.991,00","6.991,00","6.991,00","6.991,00","-2,90",150,1.048.650,1.048.650
07.7.2014,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",33,237.600,237.600
04.7.2014,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",14,100.800,100.800
03.7.2014,"7.200,00",,,"7.200,00","0,00",0,0,0
02.7.2014,"7.200,00","7.200,00","7.200,00","7.200,00","-2,70",14,100.800,100.800
01.7.2014,"7.400,00",,,"7.400,00","0,00",0,0,0
30.6.2014,"7.400,00",,,"7.400,00","0,00",0,0,0
27.6.2014,"7.400,00","7.400,00","7.400,00","7.400,00","2,78",20,148.000,148.000
26.6.2014,"7.200,00",,,"7.200,00","0,00",0,0,0
25.6.2014,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",14,100.800,100.800
24.6.2014,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",28,201.600,201.600
23.6.2014,"7.200,00","7.200,00","7.200,00","7.200,00","-2,93",50,360.000,360.000
20.6.2014,"7.450,00",,,"7.417,10","0,00",0,0,0
19.6.2014,"7.450,00",,,"7.417,10","0,00",0,0,0
18.6.2014,"7.450,00","7.450,00","7.171,00","7.417,10","0,33",20,148.342,148.342
17.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
16.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
13.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
12.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
11.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
10.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
09.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
05.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
04.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
03.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
02.6.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
30.5.2014,"7.450,00",,,"7.392,54","0,00",0,0,0
29.5.2014,"7.450,00","7.450,00","7.201,00","7.392,54","-0,32",26,192.206,192.206
28.5.2014,"7.416,00","7.416,00","7.416,00","7.416,00","3,00",30,222.480,222.480
27.5.2014,"7.200,00","7.200,00","7.200,00","7.200,00","2,86",33,237.600,237.600
26.5.2014,"7.000,00","7.000,00","7.000,00","7.000,00","5,72",112,784.000,784.000
23.5.2014,"6.621,00","6.621,00","6.621,00","6.621,00","-2,99",120,794.520,794.520
22.5.2014,"6.825,00","6.825,00","6.825,00","6.825,00","-10,00",231,1.576.575,1.576.575
21.5.2014,"7.532,00","8.117,00","7.532,00","7.583,30","-9,38",230,1.744.160,1.744.160
20.5.2014,"8.368,00",,,"8.368,00","0,00",0,0,0
19.5.2014,"8.368,00","8.368,00","8.368,00","8.368,00","-2,99",116,970.688,970.688
16.5.2014,"8.626,00","8.626,00","8.626,00","8.626,00","10,00",47,405.422,405.422
15.5.2014,"7.842,00","7.842,00","7.842,00","7.842,00","10,00",155,1.215.510,1.215.510
14.5.2014,"7.368,00","7.368,00","6.700,00","7.129,37","6,43",131,933.948,933.948
13.5.2014,"6.700,00","6.700,00","6.690,00","6.698,61","0,13",72,482.300,482.300
12.5.2014,"6.690,00","6.690,00","6.690,00","6.690,00","2,92",30,200.700,200.700
09.5.2014,"6.500,00","6.500,00","6.500,00","6.500,00","3,32",30,195.000,195.000
08.5.2014,"6.300,00",,,"6.290,91","0,00",0,0,0
07.5.2014,"6.300,00",,,"6.290,91","0,00",0,0,0
06.5.2014,"6.300,00","6.300,00","6.200,00","6.290,91","2,42",110,692.000,692.000
05.5.2014,"6.200,00","6.200,00","6.000,00","6.142,31","4,55",130,798.500,798.500
02.5.2014,"5.875,00",,,"5.875,00","0,00",0,0,0
30.4.2014,"5.875,00","5.875,00","5.875,00","5.875,00","2,98",30,176.250,176.250
29.4.2014,"5.719,00","5.719,00","5.700,00","5.704,75","-0,25",16,91.276,91.276
28.4.2014,"5.719,00",,,"5.719,00","0,00",0,0,0
25.4.2014,"5.719,00",,,"5.719,00","0,00",0,0,0
24.4.2014,"5.719,00","5.719,00","5.719,00","5.719,00","9,99",1,5.719,5.719
23.4.2014,"5.324,00",,,"5.199,33","0,00",0,0,0
22.4.2014,"5.324,00",,,"5.199,33","0,00",0,0,0
17.4.2014,"5.324,00","5.324,00","4.950,00","5.199,33","7,42",30,155.980,155.980
16.4.2014,"4.840,00",,,"4.840,00","0,00",0,0,0
15.4.2014,"4.840,00",,,"4.840,00","0,00",0,0,0
14.4.2014,"4.840,00",,,"4.840,00","0,00",0,0,0
11.4.2014,"4.840,00",,,"4.840,00","0,00",0,0,0
10.4.2014,"4.840,00",,,"4.840,00","0,00",0,0,0
09.4.2014,"4.840,00",,,"4.840,00","0,00",0,0,0
08.4.2014,"4.840,00",,,"4.840,00","0,00",0,0,0
07.4.2014,"4.840,00","4.840,00","4.840,00","4.840,00","3,24",11,53.240,53.240
04.4.2014,"4.688,00",,,"4.688,00","0,00",0,0,0
03.4.2014,"4.688,00",,,"4.688,00","0,00",0,0,0
02.4.2014,"4.688,00",,,"4.688,00","0,00",0,0,0
01.4.2014,"4.688,00","4.688,00","4.688,00","4.688,00","4,18",50,234.400,234.400
31.3.2014,"4.500,00",,,"4.500,00","0,00",0,0,0
28.3.2014,"4.500,00",,,"4.500,00","0,00",0,0,0
27.3.2014,"4.500,00",,,"4.500,00","0,00",0,0,0
26.3.2014,"4.500,00","4.500,00","4.500,00","4.500,00","-1,10",27,121.500,121.500
25.3.2014,"4.550,00",,,"4.550,00","0,00",0,0,0
24.3.2014,"4.550,00",,,"4.550,00","0,00",0,0,0
21.3.2014,"4.550,00",,,"4.550,00","0,00",0,0,0
20.3.2014,"4.550,00",,,"4.550,00","0,00",0,0,0
19.3.2014,"4.550,00",,,"4.550,00","0,00",0,0,0
18.3.2014,"4.550,00","4.550,00","4.550,00","4.550,00","1,11",100,455.000,455.000
17.3.2014,"4.500,00",,,"4.500,00","0,00",0,0,0
14.3.2014,"4.500,00",,,"4.500,00","0,00",0,0,0
13.3.2014,"4.500,00","4.500,00","4.500,00","4.500,00","2,27",23,103.500,103.500
12.3.2014,"4.400,00",,,"4.400,00","0,00",0,0,0
11.3.2014,"4.400,00",,,"4.400,00","0,00",0,0,0
10.3.2014,"4.400,00",,,"4.400,00","0,00",0,0,0
07.3.2014,"4.400,00",,,"4.400,00","0,00",0,0,0
06.3.2014,"4.400,00",,,"4.400,00","0,00",0,0,0
05.3.2014,"4.400,00",,,"4.400,00","0,00",0,0,0
04.3.2014,"4.400,00","4.400,00","4.400,00","4.400,00","10,00",6,26.400,26.400
03.3.2014,"4.000,00","4.000,00","4.000,00","4.000,00","0,00",10,40.000,40.000
28.2.2014,"4.000,00","4.000,00","4.000,00","4.000,00","0,00",5,20.000,20.000
27.2.2014,"4.000,00",,,"4.000,00","0,00",0,0,0
26.2.2014,"4.000,00",,,"4.000,00","0,00",0,0,0
25.2.2014,"4.000,00",,,"4.000,00","0,00",0,0,0
24.2.2014,"4.000,00","4.000,00","4.000,00","4.000,00","-1,72",10,40.000,40.000
21.2.2014,"4.070,00",,,"4.070,00","0,00",0,0,0
20.2.2014,"4.070,00",,,"4.070,00","0,00",0,0,0
19.2.2014,"4.070,00",,,"4.070,00","0,00",0,0,0
18.2.2014,"4.070,00","4.070,00","4.070,00","4.070,00","8,53",11,44.770,44.770
17.2.2014,"3.750,00",,,"3.750,00","0,00",0,0,0
14.2.2014,"3.750,00",,,"3.750,00","0,00",0,0,0
13.2.2014,"3.750,00",,,"3.750,00","0,00",0,0,0
12.2.2014,"3.750,00","3.750,00","3.750,00","3.750,00","0,00",3,11.250,11.250
11.2.2014,"3.750,00",,,"3.750,00","0,00",0,0,0
10.2.2014,"3.750,00","3.750,00","3.750,00","3.750,00","1,35",54,202.500,202.500
07.2.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",10,37.000,37.000
06.2.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",33,122.100,122.100
05.2.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
04.2.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
03.2.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
31.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
30.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
29.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
28.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
27.1.2014,"3.700,00","3.700,00","3.700,00","3.700,00","-0,27",3,11.100,11.100
24.1.2014,"3.710,00","3.710,00","3.710,00","3.710,00","0,27",200,742.000,742.000
23.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
22.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
21.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
20.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
17.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
16.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
15.1.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",5,18.500,18.500
14.1.2014,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",10,37.000,37.000
13.1.2014,"3.700,00",,,"3.700,00","0,00",0,0,0
10.1.2014,"3.700,00","3.700,00","3.700,00","3.700,00","15,62",10,37.000,37.000
09.1.2014,"3.200,00",,,"3.200,00","0,00",0,0,0
08.1.2014,"3.200,00",,,"3.200,00","0,00",0,0,0
03.1.2014,"3.200,00",,,"3.200,00","0,00",0,0,0
02.1.2014,"3.200,00",,,"3.200,00","0,00",0,0,0
30.12.2015,"8.244,00",,,"8.244,00","0,00",0,0,0
29.12.2015,"8.244,00",,,"8.244,00","0,00",0,0,0
28.12.2015,"8.244,00",,,"8.244,00","0,00",0,0,0
25.12.2015,"8.244,00",,,"8.244,00","0,00",0,0,1.000.125
24.12.2015,"8.244,00","8.244,00","8.244,00","8.244,00","0,01",3,24.732,9.848.732
23.12.2015,"8.243,00",,,"8.243,00","0,00",0,0,0
22.12.2015,"8.243,00",,,"8.243,00","0,00",0,0,0
21.12.2015,"8.243,00",,,"8.243,00","0,00",0,0,0
18.12.2015,"8.243,00","8.243,00","8.243,00","8.243,00","0,00",1,8.243,12.856.493
17.12.2015,"8.243,00",,,"8.243,00","0,00",0,0,0
16.12.2015,"8.243,00",,,"8.243,00","0,00",0,0,0
15.12.2015,"8.243,00",,,"8.243,00","0,00",0,0,0
14.12.2015,"8.243,00",,,"8.243,00","0,00",0,0,0
11.12.2015,"8.243,00",,,"8.243,00","0,00",0,0,5.360.000
10.12.2015,"8.243,00",,,"8.243,00","0,00",0,0,0
09.12.2015,"8.243,00","8.243,00","8.243,00","8.243,00","3,00",5,41.215,41.215
07.12.2015,"8.000,00",,,"8.003,29","0,00",0,0,0
04.12.2015,"8.000,00",,,"8.003,29","0,00",0,0,0
03.12.2015,"8.000,00",,,"8.003,29","0,00",0,0,3.736.000
01.12.2015,"8.000,00",,,"8.003,29","0,00",0,0,0
30.11.2015,"8.000,00","8.242,00","8.000,00","8.003,29","0,04",808,6.466.662,6.466.662
27.11.2015,"8.000,00",,,"8.000,00","0,00",0,0,0
26.11.2015,"8.000,00",,,"8.000,00","0,00",0,0,0
25.11.2015,"8.000,00",,,"8.000,00","0,00",0,0,0
24.11.2015,"8.000,00","8.000,00","8.000,00","8.000,00","-0,02",5,40.000,1.048.000
23.11.2015,"8.002,00",,,"8.002,00","0,00",0,0,0
20.11.2015,"8.002,00","8.002,00","8.002,00","8.002,00","0,02",10,80.020,80.020
19.11.2015,"8.000,00",,,"8.000,00","0,00",0,0,0
18.11.2015,"8.000,00",,,"8.000,00","0,00",0,0,10.614.500
17.11.2015,"8.000,00","8.000,00","8.000,00","8.000,00","0,00",5,40.000,40.000
16.11.2015,"8.000,00","8.000,00","7.999,00","7.999,67","5,19",30,239.990,3.303.990
13.11.2015,"7.920,00","7.920,00","7.416,00","7.605,00","5,62",8,60.840,60.840
12.11.2015,"7.200,00",,,"7.200,00","0,00",0,0,0
11.11.2015,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",105,756.000,756.000
10.11.2015,"7.200,00","7.200,00","7.200,00","7.200,00","-2,70",205,1.476.000,1.476.000
09.11.2015,"7.400,00",,,"7.400,00","0,00",0,0,0
06.11.2015,"7.400,00","7.400,00","7.400,00","7.400,00","-1,99",10,74.000,74.000
05.11.2015,"7.550,00",,,"7.550,00","0,00",0,0,0
04.11.2015,"7.550,00",,,"7.550,00","0,00",0,0,0
03.11.2015,"7.550,00","7.550,00","7.550,00","7.550,00","-2,63",40,302.000,3.729.700
02.11.2015,"7.755,00","7.802,00","7.725,00","7.754,24","-2,59",54,418.729,418.729
30.10.2015,"7.960,00","7.961,00","7.960,00","7.960,60","-2,92",25,199.015,199.015
29.10.2015,"8.200,00",,,"8.200,00","0,00",0,0,0
28.10.2015,"8.200,00",,,"8.200,00","0,00",0,0,0
27.10.2015,"8.200,00","8.200,00","8.200,00","8.200,00","1,98",10,82.000,82.000
26.10.2015,"7.961,00","8.200,00","7.961,00","8.040,67","-1,95",12,96.488,96.488
22.10.2015,"8.200,00",,,"8.200,99","0,00",0,0,0
21.10.2015,"8.200,00",,,"8.200,99","0,00",0,0,0
20.10.2015,"8.200,00","8.201,00","8.200,00","8.200,99","0,00",91,746.290,746.290
19.10.2015,"8.201,00","8.201,00","8.201,00","8.201,00","-0,61",5,41.005,41.005
16.10.2015,"8.201,00",,,"8.251,18","0,00",0,0,0
15.10.2015,"8.201,00","8.400,00","8.200,00","8.251,18","0,99",79,651.843,1.753.443
